Month,Sa2Code,Sa2Name,Ta,Total,House,Apartment,Retirement,Townhouse,Sa3Code,Sa3Name
41275,247501,MÄkara-Ohariu,Wellington City,0,0,0,0,0,55700,Wellington City Rural
41275,247600,Tawa North,Wellington City,0,0,0,0,0,55720,Tawa
41275,247700,Linden,Wellington City,0,0,0,0,0,55720,Tawa
41275,247800,Tawa South,Wellington City,1,0,0,0,1,55720,Tawa
41275,247900,Tawa Central,Wellington City,0,0,0,0,0,55720,Tawa
41275,248000,Grenada North,Wellington City,0,0,0,0,0,55730,Grenada
41275,248101,Churton Park North,Wellington City,1,1,0,0,0,55830,Churton Park-Glenside
41275,248102,Glenside-Churton Park East,Wellington City,0,0,0,0,0,55830,Churton Park-Glenside
41275,248200,Takapu-Horokiwi,Wellington City,0,0,0,0,0,55710,Woodridge-Horokiwi
41275,248301,Churton Park South,Wellington City,0,0,0,0,0,55830,Churton Park-Glenside
41275,248400,Johnsonville West,Wellington City,0,0,0,0,0,55740,Johnsonville
41275,248500,Grenada Village,Wellington City,2,2,0,0,0,55730,Grenada
41275,248600,Johnsonville North,Wellington City,0,0,0,0,0,55740,Johnsonville
41275,248701,Paparangi,Wellington City,0,0,0,0,0,55840,Paparangi
41275,248800,Ngaio North,Wellington City,0,0,0,0,0,55770,Ngaio
41275,248900,Johnsonville Central,Wellington City,3,3,0,0,0,55740,Johnsonville
41275,249000,Broadmeadows,Wellington City,0,0,0,0,0,55750,Broadmeadows
41275,249101,Crofton Downs,Wellington City,0,0,0,0,0,55780,Crofton Downs
41275,249200,Johnsonville South,Wellington City,0,0,0,0,0,55740,Johnsonville
41275,249300,Khandallah Reserve,Wellington City,0,0,0,0,0,55760,Khandallah
41275,249401,Karori Park,Wellington City,0,0,0,0,0,55860,Karori
41275,249402,Karori West,Wellington City,0,0,0,0,0,55860,Karori
41275,249501,Newlands North,Wellington City,0,0,0,0,0,55850,Newlands
41275,249600,Ngaio South,Wellington City,0,0,0,0,0,55770,Ngaio
41275,249701,Newlands South,Wellington City,0,0,0,0,0,55850,Newlands
41275,249702,Newlands East,Wellington City,1,1,0,0,0,55850,Newlands
41275,249800,Woodridge,Wellington City,2,2,0,0,0,55710,Woodridge-Horokiwi
41275,249900,Karori North,Wellington City,2,2,0,0,0,55860,Karori
41275,250000,Khandallah North,Wellington City,0,0,0,0,0,55760,Khandallah
41275,250100,Wilton,Wellington City,0,0,0,0,0,55810,Wilton
41275,250200,Khandallah South,Wellington City,0,0,0,0,0,55760,Khandallah
41275,250300,Wadestown,Wellington City,1,1,0,0,0,55800,Wadestown
41275,250401,Karori South,Wellington City,0,0,0,0,0,55860,Karori
41275,250500,Onslow,Wellington City,1,1,0,0,0,55760,Khandallah
41275,250600,Karori East,Wellington City,0,0,0,0,0,55860,Karori
41275,250700,Pipitea-Kaiwharawhara,Wellington City,1,1,0,0,0,55790,Pipitea-Kaiwharawhara
41275,250800,Northland (Wellington City),Wellington City,0,0,0,0,0,55870,Northland (Wellington City)
41275,250901,Thorndon North,Wellington City,0,0,0,0,0,55820,Thorndon
41275,250902,Thorndon South,Wellington City,0,0,0,0,0,55820,Thorndon
